Task	Answers
В зависимости от круга решаемых задач выделяют?	['диаграммы сравнения,', 'структурные диаграммы']
В зависимости от хронологических границ статистическое наблюдение бывает:	['текущее', 'единовременное']
В статистике населения общий коэффициент брачности характеризуют следующие утверждения:	['относительный показатель естественного движения населения', 'отношение числа заключенных браков в течение года к среднегодовой численности населения']
В статистике различают следующие способы отбора единиц из генеральной совокупности в выборочную совокупность:	['повторный', 'бесповторный']
В теории статистики корреляционной зависимостью называют факторную зависимость, связывающую следующие величины:	['среднее значение результативного признака и среднее значение факторного признака']
В том случае, если сравниваются смежные уровни ряда динамики, показатели динамики называются:	['цепными']
В ходе бесповторного выборочного наблюдения за 50 сотрудниками организации из 1100  человек установлено, что доля курящих в выборочной совокупности составила 45 %. Определите предельную	['0.1407']
В ходе бесповторного выборочного наблюдения за 50 сотрудниками организации из 1100 человек установлено, что доля курящих в выборочной совокупности составила 45 %. Определите среднюю ошибку доли курящих в генеральной совокупности с вероятностью 0,954. Ответ в долях единицы с точностью - четыре цифры после запятой.	['0.0704']
В ходе бесповторного выборочного обследования 7800 звонков, составляющих 10 % от общего количества,  установлено, что продолжительность 1 звонка составляет в среднем 8 мин. с	['0.0376']
В ходе бесповторного выборочного обследования 7800 звонков, составляющих 10 % от общего количества, установлено, что 18,5 % имели продолжительность менее 1 мин. С вероятностью 0,954 определите пределы доли звонков продолжительностью менее 1 мин. Ответ в долях единицы в формате «от 0,0000 до 0,0000».	['от 0,1766 до 0,1934']
В ходе бесповторного выборочного обследования 7800 звонков, составляющих 10 % от общего количества, установлено, что 18,5 % имели продолжительность менее 1 мин. С вероятностью 0,954 определите предельную ошибку доли звонков продолжительностью менее 1 мин. Ответ в долях единицы с точностью - четыре цифры после запятой.	['0.0084']
В ходе бесповторного выборочного обследования 7800 звонков, составляющих 10 % от общего количества, установлено, что 18,5 % имели продолжительность менее 1 мин. С вероятностью 0,954 определите среднюю ошибку доли звонков продолжительностью менее 1 мин. Ответ в долях единицы с точностью - четыре цифры после запятой	['0.0042']
В ходе бесповторного выборочного обследования 7800 звонков, составляющих 10 % от общего количества, установлено, что продолжительность 1 звонка составляет в среднем 8 мин. с дисперсией 12,25. С вероятностью 0,954 определите предельную ошибку продолжительности звонка. Ответ в долях единицы с точностью - четыре цифры после запятой.	['0.0752']
В ходе бесповторного выборочного обследования 7800 звонков, составляющих 3 % от общего количества, установлено, что 18,5 % имели продолжительность менее 1 мин. С вероятностью 0,954 определите пределы доли звонков продолжительностью менее 1 мин. Ответ в долях единицы в формате «от 0,0000 до 0,0000».	['от 0,1762 до 0,1938']
В ходе бесповторного выборочного обследования 7800 звонков, составляющих 3 % от общего количества, установлено, что продолжительность 1 звонка составляет в среднем 12 мин. с дисперсией 12,25. С вероятностью 0,997 определите предельную ошибку средней продолжительности звонка. Ответ с точностью 3 цифры после запятой.	['0.119']
В ходе выборочного наблюдения за бюджетами домашних хозяйств единицей совокупности выступает:	['одно домашнее хозяйство']
В ходе выборочного наблюдения за бюджетами домашних хозяйств объектом наблюдения выступает:	['совокупность домашних хозяйств']
В ходе выборочного наблюдения за расходами населения на мобильную связь единицей наблюдения выступает:	['пользователь мобильной связи']
В ходе выборочного наблюдения за расходами населения на мобильную связь объектом наблюдения выступает:	['население']
В ходе выборочного наблюдения за расходами населения на мобильную связь отчетной единицей выступает:	['пользователь мобильной связи']
Время, по состоянию на которое проводится статистическое наблюдение, называется	['критическая дата']
Выберите виды графиков, которые используются для изображения динамики явления?	['линейные диаграммы', 'столбиковые диаграммы']
Выберите виды несплошного статистического наблюдения	['монографическое наблюдение', 'наблюдение по способу основного массива']
Выберите определение понятия «Масштаб графика»:	['мера перевода числовой величины в графическую']
Выберите определение понятия «Масштабная шкала»	['линия, отдельные точки которой могут быть прочитаны как определенные числа']
Выберите правильную формулу сводного индекса физического объема продукции: 	['3']
Выберите соответствие:	[{'Время, по состоянию на которое проводится статистическое наблюдение': 'критическая дата', 'Промежуток времени от начала до конца сбора информации': 'срок наблюдения', 'первичная единица, которая является носителем регистрируемого признака': 'единица наблюдения'}]
Выберите ученых – представителей статистико-математического направления:	['Р. Фишер', 'А. Кетле', 'К. Пирсон', 'В. Госсет']
